,year,aug,may
1,1984,14.28492927,NA
2,1985,15.44896001,15.80284964
3,1986,15.61505944,16.05910034
4,1987,14.91513487,13.62215501
5,1988,14.76675946,13.25903839
6,1989,14.19285776,NA
7,1990,15.03331692,12.93010215
8,1991,14.76352683,14.32529285
9,1992,14.64958829,11.50796447
10,1993,14.59034595,10.37986153
11,1994,13.87935122,12.69755246
12,1995,14.29496429,14.34094578
13,1996,12.82137807,13.45966702
14,1997,14.58851019,14.96042264
15,1998,15.75513155,13.16423116
16,1999,17.92064392,14.26770663
17,2000,16.9257619,18.14942933
18,2001,16.77433812,16.46357144
19,2002,16.45178905,15.29840382
20,2003,16.31140504,14.95290455
21,2004,14.95992783,14.66282886
22,2005,14.22865829,13.34173167
23,2006,14.88219663,15.33656908
24,2007,16.55544281,15.6176884
25,2008,15.0385844,15.42429051
26,2009,14.58848606,13.34730846
27,2010,13.66723319,12.28563243
28,2011,13.84895353,14.12793839
29,2012,15.94387859,15.92816324
30,2013,17.63512581,16.37526031
31,2014,16.88118415,18.27685329
32,2015,16.23837663,NA
33,2016,16.0656253,17.12189178
34,2017,17.01382488,17.3697305
35,2018,16.31338506,15.05132669
36,2019,18.29124676,19.32386537
37,2020,NA,NA
38,2021,18.39838287,20.04697744
39,2022,17.0809441,16.87455642
40,2023,21.55949803,20.76938382
41,2024,13.22781786,13.92261167
