Year;Wk;DateFirst;DateLast;T;SD;PercentWeeklyGrid;PercentDailyPixels
1985;15;1985-04-09;1985-04-15;4.5;0.5;100.0;14.3
1985;16;1985-04-16;1985-04-22;5.0;0.5;100.0;29.2
1985;17;1985-04-23;1985-04-29;5.3;0.4;99.7;55.1
1985;18;1985-04-30;1985-05-06;5.0;0.6;98.7;27.6
1985;19;1985-05-07;1985-05-13;5.6;0.4;99.9;19.8
1985;20;1985-05-14;1985-05-20;6.7;0.4;100.0;61.3
1985;21;1985-05-21;1985-05-27;7.1;0.4;100.0;47.0
1985;22;1985-05-28;1985-06-03;7.8;0.4;100.0;57.1
1985;23;1985-06-04;1985-06-10;8.2;0.5;99.7;35.5
1985;24;1985-06-11;1985-06-17;9.3;0.4;100.0;43.6
1985;25;1985-06-18;1985-06-24;10.5;0.7;100.0;61.5
1985;26;1985-06-25;1985-07-01;11.4;1.2;98.6;35.2
1985;27;1985-07-02;1985-07-08;12.3;2.6;40.8;6.8
1985;28;1985-07-09;1985-07-15;13.8;1.1;94.5;27.9
1985;30;1985-07-23;1985-07-29;15.4;1.1;100.0;26.6
1985;31;1985-07-30;1985-08-05;14.9;1.0;100.0;46.2
1985;32;1985-08-06;1985-08-12;16.5;0.7;100.0;63.1
1985;33;1985-08-13;1985-08-19;16.3;0.9;100.0;56.0
1985;34;1985-08-20;1985-08-26;16.0;0.9;100.0;40.1
1985;35;1985-08-27;1985-09-02;15.9;1.0;100.0;60.0
1985;36;1985-09-03;1985-09-09;15.1;0.5;100.0;49.1
1985;37;1985-09-10;1985-09-16;14.8;0.3;100.0;69.5
1985;38;1985-09-17;1985-09-23;14.4;0.5;100.0;59.4
1985;39;1985-09-24;1985-09-30;14.9;0.5;100.0;80.8
1985;40;1985-10-01;1985-10-07;14.5;0.9;100.0;27.5
1985;41;1985-10-08;1985-10-14;15.3;0.3;100.0;14.5
1985;42;1985-10-15;1985-10-21;-99;-99;0.0;0.0
1985;43;1985-10-22;1985-10-28;13.1;0.4;100.0;42.6
1985;44;1985-10-29;1985-11-04;10.9;0.6;15.7;2.2
1985;45;1985-11-05;1985-11-11;11.4;0.4;100.0;31.6
1985;46;1985-11-12;1985-11-18;10.5;1.3;2.8;0.5
1985;47;1985-11-19;1985-11-25;10.3;0.5;99.7;33.0
1985;48;1985-11-26;1985-12-02;10.1;0.7;99.3;16.6
1985;49;1985-12-03;1985-12-09;8.8;0.6;31.9;6.7
1985;50;1985-12-10;1985-12-16;7.8;0.8;26.1;3.8
1985;51;1985-12-17;1985-12-23;8.0;0.7;82.3;12.1
1985;52;1985-12-24;1985-12-30;6.6;0.9;98.4;23.0
1986;01;1986-01-01;1986-01-07;6.4;0.8;89.6;14.4
1986;02;1986-01-08;1986-01-14;5.9;0.5;100.0;32.5
1986;03;1986-01-15;1986-01-21;5.8;0.8;100.0;19.4
1986;04;1986-01-22;1986-01-28;4.4;0.5;99.5;20.9
1986;05;1986-01-29;1986-02-04;4.6;0.6;9.0;1.4
1986;06;1986-02-05;1986-02-11;4.7;0.6;93.8;21.8
1986;07;1986-02-12;1986-02-18;4.7;0.4;16.5;2.4
1986;08;1986-02-19;1986-02-25;4.8;0.8;47.4;7.3
1986;09;1986-02-26;1986-03-04;4.3;0.7;69.9;11.9
1986;10;1986-03-05;1986-03-11;4.0;0.8;62.6;9.8
1986;11;1986-03-12;1986-03-18;5.0;0.5;73.1;11.2
1986;12;1986-03-19;1986-03-25;4.5;0.3;100.0;53.7
1986;13;1986-03-26;1986-04-01;4.8;0.3;100.0;70.5
1986;14;1986-04-02;1986-04-08;4.6;0.5;100.0;42.9
1986;15;1986-04-09;1986-04-15;5.2;0.4;100.0;15.2
1986;16;1986-04-16;1986-04-22;5.4;0.4;100.0;27.0
1986;17;1986-04-23;1986-04-29;5.1;0.8;33.2;4.8
1986;18;1986-04-30;1986-05-06;5.7;0.8;68.9;15.5
1986;19;1986-05-07;1986-05-13;5.6;1.1;27.9;4.6
1986;20;1986-05-14;1986-05-20;6.4;0.4;100.0;38.8
1986;21;1986-05-21;1986-05-27;6.4;1.1;11.7;1.7
1986;22;1986-05-28;1986-06-03;7.2;0.6;100.0;25.2
1986;23;1986-06-04;1986-06-10;8.2;0.4;100.0;56.4
1986;24;1986-06-11;1986-06-17;8.5;0.9;81.0;19.5
1986;25;1986-06-18;1986-06-24;9.8;0.6;100.0;53.8
1986;26;1986-06-25;1986-07-01;10.3;0.7;100.0;57.7
1986;27;1986-07-02;1986-07-08;12.0;0.9;100.0;14.6
1986;28;1986-07-09;1986-07-15;12.7;0.6;100.0;29.6
1986;29;1986-07-16;1986-07-22;14.4;0.8;100.0;61.4
1986;30;1986-07-23;1986-07-29;15.4;1.4;100.0;57.2
1986;31;1986-07-30;1986-08-05;15.6;1.2;82.5;30.8
1986;32;1986-08-06;1986-08-12;15.8;1.3;100.0;54.6
1986;33;1986-08-13;1986-08-19;17.0;1.4;94.9;31.5
1986;34;1986-08-20;1986-08-26;14.8;1.0;100.0;67.4
1986;35;1986-08-27;1986-09-02;15.2;0.6;100.0;75.6
1986;36;1986-09-03;1986-09-09;15.6;0.9;100.0;55.7
1986;37;1986-09-10;1986-09-16;15.5;0.6;100.0;64.4
1986;38;1986-09-17;1986-09-23;14.0;0.3;100.0;54.5
1986;39;1986-09-24;1986-09-30;14.5;0.2;100.0;51.5
1986;40;1986-10-01;1986-10-07;14.2;0.4;99.9;35.4
1986;41;1986-10-08;1986-10-14;12.2;0.4;100.0;45.4
1986;42;1986-10-15;1986-10-21;12.4;0.6;100.0;31.1
1986;43;1986-10-22;1986-10-28;12.0;0.4;100.0;35.3
1986;44;1986-10-29;1986-11-04;11.9;0.4;100.0;52.6
1986;45;1986-11-05;1986-11-11;10.1;0.9;11.8;1.8
1986;46;1986-11-12;1986-11-18;10.8;0.5;20.2;2.9
1986;47;1986-11-19;1986-11-25;10.0;0.5;92.7;17.6
1986;48;1986-11-26;1986-12-02;9.0;0.7;100.0;34.3
1986;49;1986-12-03;1986-12-09;8.7;0.5;100.0;49.4
1986;50;1986-12-10;1986-12-16;8.3;0.7;46.0;8.4
1986;51;1986-12-17;1986-12-23;6.9;0.9;50.1;9.6
1986;52;1986-12-24;1986-12-30;7.4;0.7;87.0;14.1
1987;01;1987-01-01;1987-01-07;6.7;0.5;100.0;34.0
1987;02;1987-01-08;1987-01-14;6.0;0.8;14.3;2.0
