Year;Wk;DateFirst;DateLast;T;SD;PercentWeeklyGrid;PercentDailyPixels
2000;08;2000-02-19;2000-02-25;-99;-99;0.0;0.0
2000;09;2000-02-26;2000-03-03;5.5;0.4;100.0;42.6
2000;10;2000-03-04;2000-03-10;5.2;0.3;100.0;35.3
2000;11;2000-03-11;2000-03-17;5.4;0.3;100.0;49.6
2000;12;2000-03-18;2000-03-24;5.3;0.5;100.0;23.2
2000;13;2000-03-25;2000-03-31;6.0;0.3;100.0;53.2
2000;14;2000-04-01;2000-04-07;6.1;0.2;100.0;51.8
2000;15;2000-04-08;2000-04-14;6.3;0.3;100.0;60.8
2000;16;2000-04-15;2000-04-21;6.9;0.3;100.0;20.4
2000;17;2000-04-22;2000-04-28;6.7;0.9;8.8;1.4
2000;18;2000-04-29;2000-05-05;7.1;0.1;100.0;66.0
2000;19;2000-05-06;2000-05-12;7.7;0.4;71.2;17.0
2000;20;2000-05-13;2000-05-19;8.2;0.2;100.0;61.7
2000;21;2000-05-20;2000-05-26;8.2;0.2;100.0;14.9
2000;22;2000-05-27;2000-06-02;9.2;0.3;100.0;53.2
2000;23;2000-06-03;2000-06-09;9.9;0.4;100.0;65.4
2000;24;2000-06-10;2000-06-16;10.0;0.6;99.8;30.6
2000;25;2000-06-17;2000-06-23;12.2;0.7;100.0;48.9
2000;26;2000-06-24;2000-06-30;13.9;0.7;97.0;31.1
2000;27;2000-07-01;2000-07-07;14.0;0.8;96.2;28.5
2000;28;2000-07-08;2000-07-14;14.2;0.8;100.0;62.7
2000;29;2000-07-15;2000-07-21;15.9;0.6;100.0;33.1
2000;30;2000-07-22;2000-07-28;15.9;1.1;64.4;9.8
2000;31;2000-07-29;2000-08-04;15.9;1.0;76.1;13.5
2000;32;2000-08-05;2000-08-11;-99;-99;0.0;0.0
2000;33;2000-08-12;2000-08-18;-99;-99;0.0;0.0
2000;34;2000-08-19;2000-08-25;16.5;0.6;100.0;62.7
2000;35;2000-08-26;2000-09-01;16.7;0.8;100.0;63.4
2000;36;2000-09-02;2000-09-08;16.1;0.6;100.0;43.9
2000;37;2000-09-09;2000-09-15;16.7;0.4;100.0;75.2
2000;38;2000-09-16;2000-09-22;16.3;0.6;100.0;57.1
2000;39;2000-09-23;2000-09-29;15.2;0.3;100.0;48.2
2000;40;2000-09-30;2000-10-06;14.6;0.3;100.0;42.5
2000;41;2000-10-07;2000-10-13;14.1;0.3;100.0;38.9
2000;42;2000-10-14;2000-10-20;13.3;0.2;100.0;60.0
2000;43;2000-10-21;2000-10-27;12.9;0.3;100.0;84.0
2000;44;2000-10-28;2000-11-03;11.8;0.5;67.7;10.1
2000;45;2000-11-04;2000-11-10;-99;-99;0.0;0.0
2000;46;2000-11-11;2000-11-17;11.5;0.3;8.2;1.2
2000;47;2000-11-18;2000-11-24;9.9;0.4;78.9;18.2
2000;48;2000-11-25;2000-12-01;9.2;0.3;99.6;35.3
2000;49;2000-12-02;2000-12-08;8.6;0.2;100.0;27.2
2000;50;2000-12-09;2000-12-15;7.8;0.5;93.2;15.6
2000;51;2000-12-16;2000-12-22;8.2;0.3;46.4;7.1
2000;52;2000-12-23;2000-12-29;7.4;0.4;27.7;4.5
2001;01;2001-01-01;2001-01-07;5.9;0.4;41.7;6.8
