Year,Wk,DateFirst,DateLast,T,SD,PercentWeeklyGrid,PercentDailyPixels
2000,8,2/19/2000,2/25/2000,-99,-99,0,0
2000,9,2/26/2000,3/3/2000,5.5,0.4,100,42.6
2000,10,3/4/2000,3/10/2000,5.2,0.3,100,35.3
2000,11,3/11/2000,3/17/2000,5.4,0.3,100,49.6
2000,12,3/18/2000,3/24/2000,5.3,0.5,100,23.2
2000,13,3/25/2000,3/31/2000,6,0.3,100,53.2
2000,14,4/1/2000,4/7/2000,6.1,0.2,100,51.8
2000,15,4/8/2000,4/14/2000,6.3,0.3,100,60.8
2000,16,4/15/2000,4/21/2000,6.9,0.3,100,20.4
2000,17,4/22/2000,4/28/2000,6.7,0.9,8.8,1.4
2000,18,4/29/2000,5/5/2000,7.1,0.1,100,66
2000,19,5/6/2000,5/12/2000,7.7,0.4,71.2,17
2000,20,5/13/2000,5/19/2000,8.2,0.2,100,61.7
2000,21,5/20/2000,5/26/2000,8.2,0.2,100,14.9
2000,22,5/27/2000,6/2/2000,9.2,0.3,100,53.2
2000,23,6/3/2000,6/9/2000,9.9,0.4,100,65.4
2000,24,6/10/2000,6/16/2000,10,0.6,99.8,30.6
2000,25,6/17/2000,6/23/2000,12.2,0.7,100,48.9
2000,26,6/24/2000,6/30/2000,13.9,0.7,97,31.1
2000,27,7/1/2000,7/7/2000,14,0.8,96.2,28.5
2000,28,7/8/2000,7/14/2000,14.2,0.8,100,62.7
2000,29,7/15/2000,7/21/2000,15.9,0.6,100,33.1
2000,30,7/22/2000,7/28/2000,15.9,1.1,64.4,9.8
2000,31,7/29/2000,8/4/2000,15.9,1,76.1,13.5
2000,32,8/5/2000,8/11/2000,-99,-99,0,0
2000,33,8/12/2000,8/18/2000,-99,-99,0,0
2000,34,8/19/2000,8/25/2000,16.5,0.6,100,62.7
2000,35,8/26/2000,9/1/2000,16.7,0.8,100,63.4
2000,36,9/2/2000,9/8/2000,16.1,0.6,100,43.9
2000,37,9/9/2000,9/15/2000,16.7,0.4,100,75.2
2000,38,9/16/2000,9/22/2000,16.3,0.6,100,57.1
2000,39,9/23/2000,9/29/2000,15.2,0.3,100,48.2
2000,40,9/30/2000,10/6/2000,14.6,0.3,100,42.5
2000,41,10/7/2000,10/13/2000,14.1,0.3,100,38.9
2000,42,10/14/2000,10/20/2000,13.3,0.2,100,60
2000,43,10/21/2000,10/27/2000,12.9,0.3,100,84
2000,44,10/28/2000,11/3/2000,11.8,0.5,67.7,10.1
2000,45,11/4/2000,11/10/2000,-99,-99,0,0
2000,46,11/11/2000,11/17/2000,11.5,0.3,8.2,1.2
2000,47,11/18/2000,11/24/2000,9.9,0.4,78.9,18.2
2000,48,11/25/2000,12/1/2000,9.2,0.3,99.6,35.3
2000,49,12/2/2000,12/8/2000,8.6,0.2,100,27.2
2000,50,12/9/2000,12/15/2000,7.8,0.5,93.2,15.6
2000,51,12/16/2000,12/22/2000,8.2,0.3,46.4,7.1
2000,52,12/23/2000,12/29/2000,7.4,0.4,27.7,4.5
2001,1,1/1/2001,1/7/2001,5.9,0.4,41.7,6.8
2001,2,1/8/2001,1/14/2001,6,0.3,7.1,1.1
2001,3,1/15/2001,1/21/2001,6,0.3,58,11.1
2001,4,1/22/2001,1/28/2001,5.9,0.5,100,22.8
2001,5,1/29/2001,2/4/2001,5.6,0.3,94.4,32.7
2001,6,2/5/2001,2/11/2001,5.7,0.4,72,14.5
2001,7,2/12/2001,2/18/2001,5.5,0.5,72.6,10.5
2001,8,2/19/2001,2/25/2001,4.8,0.5,68,10.8
2001,9,2/26/2001,3/4/2001,4.6,0.5,78.8,16.2
2001,10,3/5/2001,3/11/2001,4,0.5,80.7,16.6
2001,11,3/12/2001,3/18/2001,4.9,0.4,100,68.8
2001,12,3/19/2001,3/25/2001,4.6,0.4,99.9,39.8
2001,13,3/26/2001,4/1/2001,4.8,0.3,100,21.2
2001,14,4/2/2001,4/8/2001,5.2,0.3,100,57.1
2001,15,4/9/2001,4/15/2001,5.4,0.4,100,40.6
2001,16,4/16/2001,4/22/2001,5.4,0.3,100,73.5
2001,17,4/23/2001,4/29/2001,6,0.4,100,46.4
2001,18,4/30/2001,5/6/2001,6.6,0.6,100,58.5
2001,19,5/7/2001,5/13/2001,6.6,0.3,100,57.2
2001,20,5/14/2001,5/20/2001,6.5,0.4,99.1,31.8
2001,21,5/21/2001,5/27/2001,7.7,0.5,100,64
2001,22,5/28/2001,6/3/2001,8.1,0.6,100,47.2
2001,23,6/4/2001,6/10/2001,9.4,0.6,100,91.7
2001,24,6/11/2001,6/17/2001,11,1,93.6,26.9
2001,27,7/2/2001,7/8/2001,13.4,0.6,98.5,25.5
2001,28,7/9/2001,7/15/2001,14.8,0.7,100,48.9
2001,29,7/16/2001,7/22/2001,15.5,0.8,100,38.6
2001,30,7/23/2001,7/29/2001,15.3,0.8,100,56.4
2001,31,7/30/2001,8/5/2001,16,0.8,100,27.9
2001,32,8/6/2001,8/12/2001,17.4,0.7,93.3,19.2
2001,33,8/13/2001,8/19/2001,17.3,0.5,42.9,6.9
2001,34,8/20/2001,8/26/2001,16.9,0.7,100,38.4
2001,35,8/27/2001,9/2/2001,17.2,0.7,100,86.1
2001,36,9/3/2001,9/9/2001,16.9,0.7,100,65.9
2001,37,9/10/2001,9/16/2001,16.8,0.4,100,65.4
2001,38,9/17/2001,9/23/2001,15.9,0.7,100,49.2
2001,39,9/24/2001,9/30/2001,16.7,0.7,100,37
2001,40,10/1/2001,10/7/2001,15.6,0.4,100,86.4
2001,41,10/8/2001,10/14/2001,15.1,0.2,100,63
2001,42,10/15/2001,10/21/2001,14.2,0.4,100,43.2
2001,43,10/22/2001,10/28/2001,14.3,0.4,100,55.7
2001,44,10/29/2001,11/4/2001,12.9,0.5,100,54.5
2001,45,11/5/2001,11/11/2001,12.1,0.6,100,53.1
2001,46,11/12/2001,11/18/2001,10.9,0.6,100,72.2
2001,47,11/19/2001,11/25/2001,10.5,0.7,100,75.2
2001,48,11/26/2001,12/2/2001,10.6,0.6,100,19.5
2001,49,12/3/2001,12/9/2001,10.2,0.5,100,56.7
2001,50,12/10/2001,12/16/2001,9.1,0.6,100,23.2
2001,51,12/17/2001,12/23/2001,8.6,0.4,94.2,27.3
2001,52,12/24/2001,12/30/2001,7.8,0.5,94.4,20.1
2003,1,1/1/2003,1/7/2003,6.7,0.5,28.3,4.3
2003,2,1/8/2003,1/14/2003,6.7,0.3,27.2,4.2
2003,3,1/15/2003,1/21/2003,5.8,0.7,17.6,2.7
2003,4,1/22/2003,1/28/2003,4.8,0.4,39.5,5.6
2003,5,1/29/2003,2/4/2003,4.8,0.5,97.8,19
2003,6,2/5/2003,2/11/2003,5.4,0.4,97.3,15.3
2003,7,2/12/2003,2/18/2003,4,0.4,4.5,0.6
2003,8,2/19/2003,2/25/2003,3.9,0.4,100,31.9
2003,9,2/26/2003,3/4/2003,3.3,0.6,100,23.4
2003,10,3/5/2003,3/11/2003,3.2,0.4,99.9,39.6
2003,11,3/12/2003,3/18/2003,2.8,0.6,100,50.2
2003,12,3/19/2003,3/25/2003,2.7,0.9,100,43.8
2003,13,3/26/2003,4/1/2003,4,0.5,100,47.2
2003,14,4/2/2003,4/8/2003,3.4,0.3,36.7,5.3
2003,15,4/9/2003,4/15/2003,3.9,0.4,100,41
2003,16,4/16/2003,4/22/2003,4.6,0.2,100,76.4
2003,17,4/23/2003,4/29/2003,5.2,0.3,100,69.4
2003,18,4/30/2003,5/6/2003,5.5,0.5,100,50.8
2003,19,5/7/2003,5/13/2003,5.8,0.7,100,47.6
2003,20,5/14/2003,5/20/2003,6.4,0.3,100,65.1
2003,21,5/21/2003,5/27/2003,7.8,0.5,100,18.1
2003,22,5/28/2003,6/3/2003,7.7,0.4,100,55.8
2003,23,6/4/2003,6/10/2003,8.4,0.4,99.6,41.9
2003,24,6/11/2003,6/17/2003,8.6,0.7,100,44.4
2003,25,6/18/2003,6/24/2003,10.2,0.7,100,43
2003,26,6/25/2003,7/1/2003,12.5,0.8,100,45.3
2003,27,7/2/2003,7/8/2003,13.8,1.2,100,37.8
2003,28,7/9/2003,7/15/2003,14.9,1.3,95.4,22.3
2003,29,7/16/2003,7/22/2003,15.2,1.3,100,47.4
2003,30,7/23/2003,7/29/2003,16.2,0.9,100,55.2
2003,31,7/30/2003,8/5/2003,17.3,0.6,100,66
2003,32,8/6/2003,8/12/2003,18.3,1,100,34.3
2003,33,8/13/2003,8/19/2003,17.9,1.2,100,60.4
2003,34,8/20/2003,8/26/2003,18,0.8,100,69.3
2003,35,8/27/2003,9/2/2003,16.9,0.9,100,69.9
2003,36,9/3/2003,9/9/2003,16,0.7,100,64
2003,37,9/10/2003,9/16/2003,15.9,0.6,100,96.7
2003,38,9/17/2003,9/23/2003,16.8,0.6,100,41
2003,39,9/24/2003,9/30/2003,17.1,1,100,73.6
2003,40,10/1/2003,10/7/2003,15.4,0.6,100,82.1
2003,41,10/8/2003,10/14/2003,14.8,0.3,100,63.3
2003,42,10/15/2003,10/21/2003,13.8,0.3,100,47.8
2003,43,10/22/2003,10/28/2003,12.8,0.5,100,32.3
2003,44,10/29/2003,11/4/2003,13,0.5,100,52
2003,45,11/5/2003,11/11/2003,11.4,0.6,89.7,20.6
2003,46,11/12/2003,11/18/2003,10.5,0.5,100,32.7
2003,47,11/19/2003,11/25/2003,10.1,0.5,100,43.8
2003,48,11/26/2003,12/2/2003,9.7,0.6,99.1,40.9
2003,49,12/3/2003,12/9/2003,8.8,0.7,34.1,5.6
2003,50,12/10/2003,12/16/2003,8.2,0.4,97.6,20.4
2003,51,12/17/2003,12/23/2003,7.3,0.3,99.8,44.4
2003,52,12/24/2003,12/30/2003,7.4,0.2,100,51.9
2004,1,1/1/2004,1/7/2004,7,0.2,100,18.4
2004,2,1/8/2004,1/14/2004,6.4,0.3,2.6,0.4
2004,3,1/15/2004,1/21/2004,5.4,0.4,100,15.5
2004,4,1/22/2004,1/28/2004,4.6,0.4,17,2.5
2004,5,1/29/2004,2/4/2004,4.2,0.3,100,15.1
2004,6,2/5/2004,2/11/2004,3.7,0.4,98.7,31.1
2004,7,2/12/2004,2/18/2004,3.3,0.5,100,38.3
2004,8,2/19/2004,2/25/2004,3.8,0.4,100,16
2004,9,2/26/2004,3/3/2004,3.6,0.4,100,100
2004,10,3/4/2004,3/10/2004,3.6,0.3,100,25.5
2004,11,3/11/2004,3/17/2004,3.6,0.2,100,51.1
2004,12,3/18/2004,3/24/2004,3.5,0.3,100,56.3
2004,13,3/25/2004,3/31/2004,3.5,0.4,100,43.4
2004,14,4/1/2004,4/7/2004,3.2,0.6,100,21.5
2004,15,4/8/2004,4/14/2004,3.9,0.5,100,44.2
2004,16,4/15/2004,4/21/2004,4.3,0.4,100,71
2004,17,4/22/2004,4/28/2004,4.6,0.4,100,28.8
2004,18,4/29/2004,5/5/2004,5.4,0.3,100,72.5
2004,19,5/6/2004,5/12/2004,5.7,0.4,100,67.1
2004,20,5/13/2004,5/19/2004,6.9,0.4,100,30.7
2004,21,5/20/2004,5/26/2004,7.5,0.6,100,33.4
2004,22,5/27/2004,6/2/2004,8,0.5,100,45.4
2004,23,6/3/2004,6/9/2004,8,0.5,100,59.5
2004,24,6/10/2004,6/16/2004,8.9,0.6,100,67
2004,25,6/17/2004,6/23/2004,10.4,0.5,100,53.6
2004,26,6/24/2004,6/30/2004,12.1,0.7,100,52.4
2004,27,7/1/2004,7/7/2004,13.3,0.9,99.5,34.2
2004,28,7/8/2004,7/14/2004,13.1,1.1,99.6,39.1
2004,29,7/15/2004,7/21/2004,14.2,0.9,50.9,9.6
2004,30,7/22/2004,7/28/2004,16.1,1.3,84.3,21.6
2004,31,7/29/2004,8/4/2004,16,1.4,75,17.1
2004,32,8/5/2004,8/11/2004,14.7,0.8,100,77.4
2004,33,8/12/2004,8/18/2004,16.1,0.7,100,77.7
2004,34,8/19/2004,8/25/2004,16.5,0.7,100,60.7
2004,35,8/26/2004,9/1/2004,16.5,0.6,100,87.8
2004,36,9/2/2004,9/8/2004,15.7,0.6,100,98
2004,37,9/9/2004,9/15/2004,16,0.5,100,77.6
2004,38,9/16/2004,9/22/2004,14.2,0.4,100,43.6
2004,39,9/23/2004,9/29/2004,14.2,0.3,100,73
2004,40,9/30/2004,10/6/2004,13.8,0.6,100,74.8
2004,41,10/7/2004,10/13/2004,13.6,0.4,100,62.7
2004,42,10/14/2004,10/20/2004,12.5,0.3,100,57
2004,43,10/21/2004,10/27/2004,11.5,0.4,60.6,11.3
2004,44,10/28/2004,11/3/2004,10.8,0.3,100,51
2004,45,11/4/2004,11/10/2004,10.6,0.4,100,65
2004,46,11/11/2004,11/17/2004,9.6,0.3,100,34.7
2004,47,11/18/2004,11/24/2004,8.6,0.2,100,59.8
2004,48,11/25/2004,12/1/2004,8.6,0.3,100,66.7
2004,49,12/2/2004,12/8/2004,8.4,0.3,100,73.5
2004,50,12/9/2004,12/15/2004,8,0.4,100,31.7
2004,51,12/16/2004,12/22/2004,7.4,0.4,100,39
2004,52,12/23/2004,12/29/2004,7.2,0.5,100,24.8
2005,1,1/1/2005,1/7/2005,6.7,0.5,100,31.9
2005,2,1/8/2005,1/14/2005,5.7,0.5,86,23.9
2005,3,1/15/2005,1/21/2005,6.4,0.3,17.4,2.5
2005,4,1/22/2005,1/28/2005,4.8,0.1,3,0.4
2005,5,1/29/2005,2/4/2005,4.2,0.3,100,48.4
2005,6,2/5/2005,2/11/2005,4.7,0.1,100,82.1
2005,7,2/12/2005,2/18/2005,4.1,0.4,99.9,31.2
2005,8,2/19/2005,2/25/2005,3.9,0.6,19.1,2.9
2005,9,2/26/2005,3/4/2005,3.6,0.7,100,31.6
2005,10,3/5/2005,3/11/2005,2.8,0.3,100,48.4
2005,11,3/12/2005,3/18/2005,3.3,0.3,100,45.6
2005,12,3/19/2005,3/25/2005,3.3,0.2,100,83.5
2005,13,3/26/2005,4/1/2005,3.6,0.3,100,68.7
2005,14,4/2/2005,4/8/2005,4.1,0.2,100,56.5
2005,15,4/9/2005,4/15/2005,4.4,0.2,100,85.1
2005,16,4/16/2005,4/22/2005,4.9,0.2,100,95.1
2005,17,4/23/2005,4/29/2005,5.7,0.2,100,85.7
2005,18,4/30/2005,5/6/2005,5.8,0.2,100,65.4
2005,19,5/7/2005,5/13/2005,5.7,0.4,100,22.3
