"","year","may"
"1",1984,NA
"2",1985,15.8028496417459
"3",1986,16.0591003382551
"4",1987,13.6221550145817
"5",1988,13.2590383895845
"6",1989,NA
"7",1990,12.9301021494038
"8",1991,14.325292845565
"9",1992,11.5079644668151
"10",1993,10.3798615323215
"11",1994,12.6975524573392
"12",1995,14.3409457802794
"13",1996,13.459667019219
"14",1997,14.9604226354927
"15",1998,13.1642311564783
"16",1999,14.2677066276153
"17",2000,18.1494293349272
"18",2001,16.4635714363935
"19",2002,15.2984038208078
"20",2003,14.9529045498818
"21",2004,14.6628288626103
"22",2005,13.3417316727749
"23",2006,15.3365690817165
"24",2007,15.6176884010888
"25",2008,15.4242905067594
"26",2009,13.3473084638945
"27",2010,12.2856324344768
"28",2011,14.1279383891724
"29",2012,15.9281632357729
"30",2013,16.3752603136606
"31",2014,18.2768532914359
"32",2015,NA
"33",2016,17.1218917840516
"34",2017,17.3697304959692
"35",2018,15.0513266870691
"36",2019,19.3238653684456
"37",2020,NA
"38",2021,20.0469774413963
"39",2022,16.8745564195256
"40",2023,20.7693838201465
"41",2024,13.9226116736706
