"","year","month","BT","monthnum"
"1",1990,"Jan",5.70571972983224,1
"2",1990,"Feb",5.57986188616071,2
"3",1990,"Mar",5.49511147907802,3
"4",1990,"Apr",5.68424546377999,4
"5",1990,"May",5.58734863826207,5
"6",1990,"Jun",5.5228463445391,6
"7",1990,"Jul",5.98217864717756,7
"8",1990,"Aug",6.13544940948486,8
"9",1990,"Sep",6.4523746081761,9
"10",1990,"Oct",7.04490739277431,10
"11",1990,"Nov",6.51569855553763,11
"12",1990,"Dec",6.80797113691057,12
"13",1991,"Jan",6.85108758381435,13
"14",1991,"Feb",6.91947249003819,14
"15",1991,"Mar",6.75890299933297,15
"16",1991,"Apr",6.53007228033883,16
"17",1991,"May",6.4824216570173,17
"18",1991,"Jun",6.22058665411813,18
"19",1991,"Jul",5.80552158355713,19
"20",1991,"Aug",5.48416276659284,20
"21",1991,"Sep",5.49260843821934,21
"22",1991,"Oct",5.46077571596418,22
"23",1991,"Nov",5.97871058327811,23
"24",1991,"Dec",6.32997846603394,24
"25",1992,"Jan",6.63771569388253,25
"26",1992,"Feb",6.56405927113124,26
"27",1992,"Mar",6.50660356794085,27
"28",1992,"Apr",6.54526740482875,28
"29",1992,"May",6.25424747467041,29
"30",1992,"Jun",6.00477376665388,30
"31",1992,"Jul",5.69851736341204,31
"32",1992,"Aug",5.72664394378662,32
"33",1992,"Sep",5.80229766028268,33
"34",1992,"Oct",5.68798945290702,34
"35",1992,"Nov",6.11495095661708,35
"36",1992,"Dec",6.29885921478271,36
"37",1993,"Jan",6.53155501229422,37
"38",1993,"Feb",6.28420892442976,38
"39",1993,"Mar",5.73336288588388,39
"40",1993,"Apr",5.56097987038749,40
"41",1993,"May",5.5886315209525,41
"42",1993,"Jun",6.02572409766061,42
"43",1993,"Jul",6.36280589784895,43
"44",1993,"Aug",6.42424225125994,44
"45",1993,"Sep",6.3529305594308,45
"46",1993,"Oct",6.01176530293056,46
"47",1993,"Nov",5.74338426589966,47
"48",1993,"Dec",5.66965040479388,48
"49",1994,"Jan",6.13665375028338,49
"50",1994,"Feb",6.19512344087873,50
"51",1994,"Mar",6.35246163776943,51
"52",1994,"Apr",6.53532212121146,52
"53",1994,"May",6.80053411211286,53
"54",1994,"Jun",7.26571078981672,54
"55",1994,"Jul",7.97170403344291,55
"56",1994,"Aug",8.3285829271589,56
"57",1994,"Sep",7.59048896517072,57
"58",1994,"Oct",7.0867938041687,58
"59",1994,"Nov",6.64837274551392,59
"60",1994,"Dec",6.69649351664952,60
"61",1995,"Jan",7.02941617965698,61
"62",1995,"Feb",7.22595307486398,62
"63",1995,"Mar",6.93300525120326,63
"64",1995,"Apr",7.02512468610491,64
"65",1995,"May",6.66695356369019,65
"66",1995,"Jun",7.12693707602365,66
"67",1995,"Jul",6.39689306531634,67
"68",1995,"Aug",6.37693425587245,68
"69",1995,"Sep",6.5849615914481,69
"70",1995,"Oct",6.72255054201399,70
"71",1995,"Nov",7.51502626964024,71
"72",1995,"Dec",7.62145641871861,72
"73",1996,"Jan",7.11481685638428,73
"74",1996,"Feb",7.13949380602155,74
"75",1996,"Mar",7.01354643957955,75
"76",1996,"Apr",5.98331313814436,76
"77",1996,"May",5.44443784441267,77
"78",1996,"Jun",5.48425154004778,78
"79",1996,"Jul",5.5469204221453,79
"80",1996,"Aug",5.47471234457833,80
"81",1996,"Sep",6.2663096836635,81
"82",1996,"Oct",6.65531316484724,82
"83",1996,"Nov",6.45377140045166,83
"84",1996,"Dec",6.2804749080113,84
